SYMBOL,Sector,holidays
ASKAUTOLTD-EQ,Automobiles & Auto Parts,
ASMS-EQ,Software & IT Services,
ASPINWALL-EQ,Freight & Logistics Services,
ASTAR-EQ,NO DATA,
ASTEC-EQ,Chemicals,
ASTRAMICRO-EQ,Electronic Equipment & Parts,
ASTRAZEN-EQ,Pharmaceuticals,
ATALREAL-EQ,Construction & Engineering,
ATAM-EQ,"Machinery, Equipment & Components",
ATL-EQ,Transport Infrastructure,
ATLANTAA-EQ,Construction & Engineering,
ATLANTAELE-EQ,"Machinery, Equipment & Components",
ATLASCYCLE-EQ,Leisure Products,
ATULAUTO-EQ,Automobiles & Auto Parts,
AURIGROW-EQ,"Machinery, Equipment & Components",
AURIONPRO-EQ,Software & IT Services,
AURUM-EQ,Real Estate Operations,
AUTOAXLES-EQ,Automobiles & Auto Parts,
AVAILFC-EQ,NO DATA,
AVALON-EQ,Electronic Equipment & Parts,
AVANTEL-EQ,Communications & Networking,
AVANTIFEED-EQ,Food & Tobacco,
AVG-EQ,Freight & Logistics Services,
AVL-EQ,Specialty Retailers,
AVONMORE-EQ,Investment Banking & Investment Services,
AVROIND-EQ,Household Goods,
AVTNPL-EQ,Food & Tobacco,
AWFIS-EQ,Real Estate Operations,
AWHCL-EQ,Professional & Commercial Services,
AXISCADES-EQ,Professional & Commercial Services,
AXITA-EQ,Textiles & Apparel,
AYE-EQ,Banking Services,
AYMSYNTEX-EQ,Textiles & Apparel,
AZAD-EQ,"Machinery, Equipment & Components",
BAFNAPH-EQ,Pharmaceuticals,
BAGFILMS-EQ,Media & Publishing,
BAIDFIN-EQ,Banking Services,
BAJAJCON-EQ,Personal & Household Products & Services,
BAJAJELEC-EQ,Household Goods,
BAJAJHCARE-EQ,Pharmaceuticals,
BAJAJHIND-EQ,Food & Tobacco,
BAJAJINDEF-EQ,"Machinery, Equipment & Components",
BAJAJST-EQ,NO DATA,
BAJEL-EQ,Construction & Engineering,
BALAJEE-EQ,Containers & Packaging,
BALAJITELE-EQ,Media & Publishing,
BALAMINES-EQ,Chemicals,
BALKRISHNA-EQ,Paper & Forest Products,
BALMLAWRIE-EQ,Consumer Goods Conglomerates,
BALPHARMA-EQ,Pharmaceuticals,
BALUFORGE-EQ,"Machinery, Equipment & Components",
BANARBEADS-EQ,Textiles & Apparel,
BANARISUG-EQ,Food & Tobacco,
BANCOINDIA-EQ,Automobiles & Auto Parts,
BANG-EQ,Textiles & Apparel,
BANSALWIRE-EQ,Metals & Mining,
BANSWRAS-EQ,Textiles & Apparel,
BASF-EQ,Chemicals,
BASML-EQ,Textiles & Apparel,
BATLIBOI-EQ,"Machinery, Equipment & Components",
BBL-EQ,"Machinery, Equipment & Components",
BBOX-EQ,Software & IT Services,
BBTCL-EQ,Containers & Packaging,
BCG-EQ,Media & Publishing,
BCLIND-EQ,Food & Tobacco,
BCONCEPTS-EQ,Textiles & Apparel,
BCPL-EQ,Transport Infrastructure,
BEARDSELL-EQ,Homebuilding & Construction Supplies,
BECTORFOOD-EQ,Food & Tobacco,
BEDMUTHA-EQ,Metals & Mining,
BEEKAY-EQ,Metals & Mining,
BELLACASA-EQ,Household Goods,
BENGALASM-EQ,NO DATA,
BEPL-EQ,Chemicals,
BESTAGRO-EQ,Chemicals,
BETA-EQ,Pharmaceuticals,
BFINVEST-EQ,Investment Banking & Investment Services,
BFUTILITIE-EQ,Construction & Engineering,
BHAGCHEM-EQ,Chemicals,
BHAGERIA-EQ,Chemicals,
BHARATCOAL-EQ,Metals & Mining,
BHARATGEAR-EQ,Automobiles & Auto Parts,
BHARATRAS-EQ,Chemicals,
BHARATSE-EQ,Automobiles & Auto Parts,
BHARATWIRE-EQ,Metals & Mining,
BI-EQ,NO DATA,
BIGBLOC-EQ,Construction Materials,
BIL-EQ,Textiles & Apparel,
BIMETAL-EQ,NO DATA,
BIOFILCHEM-EQ,Pharmaceuticals,
BIRLACORPN-EQ,Construction Materials,
BIRLAMONEY-EQ,Investment Banking & Investment Services,
BIRLANU-EQ,Homebuilding & Construction Supplies,
BIRLAPREC-EQ,NO DATA,
BLACKBUCK-EQ,Software & IT Services,
BLACKROSE-EQ,NO DATA,
BLAL-EQ,Holding Companies,
BLIL-EQ,NO DATA,
BLISSGVS-EQ,Pharmaceuticals,
BLKASHYAP-EQ,Construction & Engineering,
BLSE-EQ,Software & IT Services,
BLUECHIP-EQ,Investment Banking & Investment Services,
BLUESTONE-EQ,Textiles & Apparel,
BLUSPRING-EQ,Professional & Commercial Services,
BMWVENTLTD-EQ,Metals & Mining,
BNALTD-EQ,NO DATA,
