Symbol,Sector,holidays
DELHIVERY-EQ,Services,
DEVYANI-EQ,Consumer Services,
DIVISLAB-EQ,Healthcare,
DIXON-EQ,Consumer Durables,
LALPATHLAB-EQ,Healthcare,
DRREDDY-EQ,Healthcare,
EIDPARRY-EQ,Fast Moving Consumer Goods,
EIHOTEL-EQ,Consumer Services,
EICHERMOT-EQ,Automobile and Auto Components,
ELECON-EQ,Capital Goods,
ELGIEQUIP-EQ,Capital Goods,
EMAMILTD-EQ,Fast Moving Consumer Goods,
EMCURE-EQ,Healthcare,
EMMVEE-EQ,Capital Goods,
ENDURANCE-EQ,Automobile and Auto Components,
ENGINERSIN-EQ,Construction,
ERIS-EQ,Healthcare,
ESCORTS-EQ,Capital Goods,
ETERNAL-EQ,Consumer Services,
EXIDEIND-EQ,Automobile and Auto Components,
NYKAA-EQ,Consumer Services,
FEDERALBNK-EQ,Financial Services,
FACT-EQ,Chemicals,
FINCABLES-EQ,Capital Goods,
FSL-EQ,Services,
FIVESTAR-EQ,Financial Services,
FORCEMOT-EQ,Automobile and Auto Components,
FORTIS-EQ,Healthcare,
GAIL-EQ,Oil Gas & Consumable Fuels,
GVT&D-EQ,Capital Goods,
GMRAIRPORT-EQ,Services,
GABRIEL-EQ,Automobile and Auto Components,
GALLANTT-EQ,Capital Goods,
GRSE-EQ,Capital Goods,
GICRE-EQ,Financial Services,
GILLETTE-EQ,Fast Moving Consumer Goods,
GLAND-EQ,Healthcare,
GLAXO-EQ,Healthcare,
GLENMARK-EQ,Healthcare,
MEDANTA-EQ,Healthcare,
GODIGIT-EQ,Financial Services,
GPIL-EQ,Capital Goods,
GODFRYPHLP-EQ,Fast Moving Consumer Goods,
GODREJCP-EQ,Fast Moving Consumer Goods,
GODREJIND-EQ,Diversified,
GODREJPROP-EQ,Realty,
GRANULES-EQ,Healthcare,
GRAPHITE-EQ,Capital Goods,
GRASIM-EQ,Construction Materials,
GRAVITA-EQ,Metals & Mining,
GESHIP-EQ,Services,
FLUOROCHEM-EQ,Chemicals,
GMDCLTD-EQ,Metals & Mining,
HEG-EQ,Capital Goods,
HBLENGINE-EQ,Capital Goods,
HCLTECH-EQ,Information Technology,
HDBFS-EQ,Financial Services,
HDFCAMC-EQ,Financial Services,
HDFCBANK-EQ,Financial Services,
HDFCLIFE-EQ,Financial Services,
HFCL-EQ,Telecommunication,
HAVELLS-EQ,Consumer Durables,
HEROMOTOCO-EQ,Automobile and Auto Components,
HEXT-EQ,Information Technology,
HSCL-EQ,Chemicals,
HINDALCO-EQ,Metals & Mining,
HAL-EQ,Capital Goods,
HINDCOPPER-EQ,Metals & Mining,
HINDPETRO-EQ,Oil Gas & Consumable Fuels,
HINDUNILVR-EQ,Fast Moving Consumer Goods,
HINDZINC-EQ,Metals & Mining,
POWERINDIA-EQ,Capital Goods,
HOMEFIRST-EQ,Financial Services,
HONASA-EQ,Fast Moving Consumer Goods,
HONAUT-EQ,Capital Goods,
HUDCO-EQ,Financial Services,
HYUNDAI-EQ,Automobile and Auto Components,
ICICIBANK-EQ,Financial Services,
ICICIGI-EQ,Financial Services,
ICICIAMC-EQ,Financial Services,
ICICIPRULI-EQ,Financial Services,
IDBI-EQ,Financial Services,
IDFCFIRSTB-EQ,Financial Services,
IFCI-EQ,Financial Services,
IIFL-EQ,Financial Services,
IRB-EQ,Construction,
IRCON-EQ,Construction,
ITCHOTELS-EQ,Consumer Services,
ITC-EQ,Fast Moving Consumer Goods,
ITI-EQ,Telecommunication,
INDGN-EQ,Healthcare,
INDIACEM-EQ,Construction Materials,
INDIAMART-EQ,Consumer Services,
INDIANB-EQ,Financial Services,
IEX-EQ,Financial Services,
INDHOTEL-EQ,Consumer Services,
IOC-EQ,Oil Gas & Consumable Fuels,
IOB-EQ,Financial Services,
IRCTC-EQ,Consumer Services,
IRFC-EQ,Financial Services,
IREDA-EQ,Financial Services,
IGL-EQ,Oil Gas & Consumable Fuels,
INDUSTOWER-EQ,Telecommunication,
INDUSINDBK-EQ,Financial Services,
NAUKRI-EQ,Consumer Services,
INFY-EQ,Information Technology,
INOXWIND-EQ,Capital Goods,
INTELLECT-EQ,Information Technology,
INDIGO-EQ,Services,
IGIL-EQ,Services,
IKS-EQ,Information Technology,
IPCALAB-EQ,Healthcare,
JBCHEPHARM-EQ,Healthcare,
JKCEMENT-EQ,Construction Materials,
JBMA-EQ,Automobile and Auto Components,
JKTYRE-EQ,Automobile and Auto Components,
JMFINANCIL-EQ,Financial Services,
JSWCEMENT-EQ,Construction Materials,
JSWDULUX-EQ,Consumer Durables,
JSWENERGY-EQ,Power,
JSWINFRA-EQ,Services,
JSWSTEEL-EQ,Metals & Mining,
JAINREC-EQ,Metals & Mining,
JPPOWER-EQ,Power,
J&KBANK-EQ,Financial Services,
JINDALSAW-EQ,Capital Goods,
JSL-EQ,Metals & Mining,
JINDALSTEL-EQ,Metals & Mining,
JIOFIN-EQ,Financial Services,
JUBLFOOD-EQ,Consumer Services,
JUBLINGREA-EQ,Chemicals,
JUBLPHARMA-EQ,Healthcare,
JWL-EQ,Capital Goods,
JYOTICNC-EQ,Capital Goods,
KPRMILL-EQ,Textiles,
KEI-EQ,Capital Goods,
KPITTECH-EQ,Information Technology,
KAJARIACER-EQ,Consumer Durables,
KPIL-EQ,Construction,
KALYANKJIL-EQ,Consumer Durables,
KARURVYSYA-EQ,Financial Services,
KAYNES-EQ,Capital Goods,
KEC-EQ,Construction,
KFINTECH-EQ,Financial Services,
KIRLOSENG-EQ,Capital Goods,
KOTAKBANK-EQ,Financial Services,
KIMS-EQ,Healthcare,
LTF-EQ,Financial Services,
LTTS-EQ,Information Technology,
LGEINDIA-EQ,Consumer Durables,
LICHSGFIN-EQ,Financial Services,
LTFOODS-EQ,Fast Moving Consumer Goods,
LTM-EQ,Information Technology,
LT-EQ,Construction,
LATENTVIEW-EQ,Information Technology,
LAURUSLABS-EQ,Healthcare,
THELEELA-EQ,Consumer Services,
LEMONTREE-EQ,Consumer Services,
LENSKART-EQ,Consumer Services,
LICI-EQ,Financial Services,
LINDEINDIA-EQ,Chemicals,
LLOYDSME-EQ,Metals & Mining,
LODHA-EQ,Realty,
LUPIN-EQ,Healthcare,
MMTC-EQ,Services,
MRF-EQ,Automobile and Auto Components,
MGL-EQ,Oil Gas & Consumable Fuels,
M&MFIN-EQ,Financial Services,
M&M-EQ,Automobile and Auto Components,
MANAPPURAM-EQ,Financial Services,
MRPL-EQ,Oil Gas & Consumable Fuels,
MANKIND-EQ,Healthcare,
MARICO-EQ,Fast Moving Consumer Goods,
MARUTI-EQ,Automobile and Auto Components,
MFSL-EQ,Financial Services,
MAXHEALTH-EQ,Healthcare,
MAZDOCK-EQ,Capital Goods,
MEESHO-EQ,Consumer Services,
MINDACORP-EQ,Automobile and Auto Components,
MSUMI-EQ,Automobile and Auto Components,
MOTILALOFS-EQ,Financial Services,
MPHASIS-EQ,Information Technology,
MCX-EQ,Financial Services,
MUTHOOTFIN-EQ,Financial Services,
NATCOPHARM-EQ,Healthcare,
NBCC-EQ,Construction,
NCC-EQ,Construction,
NHPC-EQ,Power,
NLCINDIA-EQ,Power,
NMDC-EQ,Metals & Mining,
NSLNISP-EQ,Metals & Mining,
NTPCGREEN-EQ,Power,
